Typ;Funktion;Klassifikation Sag (2010);Beleg;Sigle;Ort;Kreis;X;Y
wie X dass;Prädikativ;Degree word;"  drei reingesteckt, je nach dem wie groß, daß die Reihe war. S1:&nbsp;Dieses Haus ";ZWY23TRA.HTM;Borgfeld;Bremen;8.9069444444444;53.126111111111
wie X dass;Prädikativ;Degree word; , wie das alles ist, und wie schwer daß das war. Und wie langsam daß das ;ZWZ46TRA.HTM;Schönlind;Wunsiedel;12.026173;50.06675
wie X dass;Adverbial;Degree word;  schwer daß das war. Und wie langsam daß das alles gegangen ist. Das Spinnen und ;ZWZ46TRA.HTM;Schönlind;Wunsiedel;12.026173;50.06675
wie X dass;Adverbial;Degree word; ) dann müssen wir halt schauen, wie lange daß es mit einem noch dauert. Und nachher ;ZWZ60TRA.HTM;Eschenfelden;Sulzbach;11.536944444444;49.556944444444
wieviel dass;Objekt;Degree word;" ;Jetzt zum Schluß tät mich interessieren, wieviel daß so ein Markgräfler Kellermeister, wieviel daß ";ZW079TRA.HTM;Efringen-Kirchen;Lörrach;7.5658333333333;47.655555555556
wieviel dass;Objekt;Degree word; iel daß so ein Markgräfler Kellermeister, wieviel daß er trinkt am Tag, in Vierteli ausgedrückt. ;ZW079TRA.HTM;Efringen-Kirchen;Lörrach;7.5658333333333;47.655555555556
wieviel dass;Objekt;Degree word;  man's halt zusammen im Monat wieviel daß es gelegt hat, und dann im Jahr ;ZW463TRA.HTM;Öflingen;Säckingen;7.9041666666667;47.633055555556
wieviel dass;Objekt;Degree word;"  Bestandteil S3:&nbsp;Ja und weißt', wieviel daß wir heut' noch haben davon? S2:&nbsp;(";ZW578TRA.HTM;Au am Rhein;Karlsruhe;8.2363888888889;48.951388888889
wieviel dass;Subjekt;Degree word;"  das mußte wohl genau berechnet werden, wieviel daß da reinkam. S2:&nbsp;Ja das war ";ZW7F8TRA.HTM;Lutterbek;Plön;10.2766;54.3912
wieviel dass;Objekt;Degree word;  viel sein. Ich weiß es nicht, wieviel daß sie heute für einen Dachsbalg zahlen. ;ZWB93TRA.HTM;Kammer;Traunstein;12.651667;47.923889
wieviel dass;unklar;Degree word;  - was [daß] ein jeder da ist, wieviel daß - gar keine Schwierigkeiten gegeben, na sind w;ZWE54TRA.HTM;Weltenburg;Kelheim;11.819722222222;48.898888888889
wieviel dass;unklar;Degree word; es) Krankenhaus, und nachher, weiß nicht, wieviel daß sie - fünftausend Liter, Hektoliter glaub ich,;ZWE54TRA.HTM;Weltenburg;Kelheim;11.819722222222;48.898888888889
wieviel dass;Objekt;Degree word; Kind eine tüchtige Weckpuppe, je nachdem, wieviel daß die Bauern gespendet haben, so fallen auch ;ZWQ39TRA.HTM;Berrendorf;Bergheim;6.5872222222222;50.926111111111
wieviel dass;Objekt;Degree word;" ? S2:&nbsp;No no - ach woher, wieviel daß sich halt finden. Es kommt darauf an. ";ZWZ53TRA.HTM;Neunkirchen;Bayreuth;11.647222;49.922778
wieviel X dass;Subjekt;Degree word;  ja schon gewußt, wie viele Person[en] daß kommen, na und da hat jedes seine ;ZWB35TRA.HTM;Frammersbach;Lohr am Main;9.4666666666667;50.066666666667
wieviel X dass;Adverbial;Degree word;"  die Sortiererei, wieviel Stunden in der Nacht daß man da muß sortieren! S1:&nbsp;Ich ";ZW533TRA.HTM;Rheinbischofsheim;Kehl;7.927891;48.651822
wieviel X dass;Objekt;Degree word;  ist, ist jeder gefragt worden, wieviel Festmeter daß er hat von jeder Holzart, dann ab ;ZW548TRA.HTM;Gamshurst;Bühl;8.0188888888889;48.664722222222
wieviel X dass;Objekt;Degree word;"  die vierzehn Tage rum sind, wieviel Geld daß wir bekommen könnten. S4:&nbsp;Und dann ";ZW565TRA.HTM;Halberstung;Bühl;8.1669444444444;48.761944444444
